quarter,date,turn_number,speaker,text,word_count,speaker_type
2025Q1,April 11 2025,1,Operator,Thank you. Please standby. Our first question comes from Ken Usdin with Autonomous. You may proceed.,16,Operator
2025Q1,April 11 2025,2,Ken Usdin,"Good morning, Jeremy. Wondering if you could start by just kind of amplifying just the macro commentary that you started off on. And given the uncertainty in the world that you referenced, just how are you seeing the activity change across the customer base from consumers to wholesale? And can you just talk through how that's also just informing any changes in your -- some of your growth and reserving expectations? Thanks.",72,Analyst
2025Q1,April 11 2025,3,Jeremy Barnum,"Sure, Ken. So, I mean, at a high level, I would say that, obviously, some of the salient news flow is quite recent. So, we've done some soundings and some checking both on the consumer side and on the wholesale side.

I think on the consumer side, the thing to check is the spending data. And to be honest, the main thing that we see there is what would appear to be a certain amount of front-loading of spending ahead of people expecting price increases from tariffs. So, ironically, that's actually somewhat supportive all else equal. But I think what it sort of highlights is that during this transitional period and this elevated uncertainty, you might see some distortions in the data that make it hard to draw larger conclusions.

In terms of our corporate clients, obviously, they've been reacting to the changes in tariff policy. And at the margin that shifts their focus away from more strategic priorities with obvious implications for the Investment Banking pipeline outlook towards more short-term work, optimizing supply chains and trying to figure out how they're going to respond to the current environment.

So, as a result, I think we would characterize what we're hearing from our corporate clients is a little bit of a wait-and-see attitude. I do think you see obvious differences across sectors. Some sectors are going to be much more exposed than others and have more complicated problems to solve, and also across the size of the clients, I think, smaller clients, small business and smaller corporates are probably a little bit more challenged. I think the larger corporates have a bit more experience dealing with these things and more resources to manage.

So, that's a little bit of our read of the situation right now, but certainly a bit of a wait-and-see attitude. It's hard to make long-term decisions right now. And so, we'll see how that plays out.",320,CFO
2025Q1,April 11 2025,4,Ken Usdin,"Yeah. And just one question on the NII ex. Markets holding at $90 billion. Can you just walk us through the puts and takes of just what's the new curve you're using, which also is subject to change every day? And what might have been some of the positive offsets to if you put in more expected cuts than you had before? Thanks.",63,Analyst
2025Q1,April 11 2025,5,Jeremy Barnum,"Yeah, that's a good question, Ken, and you're right. So, if you remember, last quarter, we said that we had one cut in the curve. I think latest curve has something like three cuts. And so, we've talked a lot, obviously, about how we're asset-sensitive. You now see our EaR disclosed in the supplement and probably our empirical EaR is a little bit higher than our modeled EaR as a result of the relatively lower-than-modeled rates paid in consumer. So, when you put that together, all else equal, the drop in the weighted average IORB, which is about 22 basis points, should produce a notable headwind in our NII ex. Markets.",111,CFO
2025Q1,April 11 2025,6,Jamie Dimon,In the curve basically.,4,CEO
2025Q1,April 11 2025,7,Jeremy Barnum,Yeah. That's basically -- that's just mechanically...,7,CFO
2025Q1,April 11 2025,8,Jamie Dimon,Guaranteed not to happen.,4,CEO
2025Q1,April 11 2025,9,Jeremy Barnum,"As Ken said. So, that's mechanically just flowing through the curve. So, yeah, your question is that given that why are you not revising down? And the answer to that is that across all the puts and takes actually, our number is a tiny bit lower. It's just not enough to warrant a change in the outlook, but we do have some offsets. So, we have some balance effects that are favorable. You will have noted that I talked about higher wholesale deposit balances, for example. We see beta outperforming in a couple of different places in CDs and in wholesale.

The other thing is that you'll recall we talked before about having a placeholder in our NII outlook for the potential impact of the card late fee rule. We've now removed that, so that's a little bit of an offset as well. So, that's kind of how you get to unchanged even though clearly, all else equal, the lower expected front-end rates are a headwind.",166,CFO
2025Q1,April 11 2025,10,Operator,Thank you. Our next question comes from Erika Najarian with UBS. You may proceed.,14,Operator
2025Q1,April 11 2025,11,Erika Najarian,"Yes, good morning. This question is for Jamie. Jamie, you were on the media today talking about potential economic turbulence, but Jeremy also mentioned that banking should be -- the banking system should be a source of strength in this turbulence. The equity market always seems to think about the banks as weaker players, given how they trade the stocks more on sentiment and fear rather than the math of the ability of the banks to absorb provisions going forward if we do fall into a slower economic downturn. So, I guess, just the question here is, can you double-click on how you think this is going to impact the economy going forward? And maybe double-click on Jeremy's statement that banking -- the banking system should be a source of strength?",131,Analyst
